date_key,full_date,day_of_week,month_name,quarter,is_weekend
1956576,2025-03-06 18:20:21,Tuesday,November,Q2,True
1128115,2025-05-27 14:59:28,Wednesday,October,Q2,False
1307952,2025-08-14 10:21:24,Tuesday,September,Q4,False
1326276,2025-10-10 07:27:26,Thursday,June,Q2,False
834322,2025-12-17 12:46:56,Thursday,December,Q4,False
1785143,2025-10-22 12:34:18,Tuesday,October,Q4,False
1911793,2024-06-24 08:27:31,Thursday,May,Q4,False
1206403,2024-07-28 13:35:51,Saturday,August,Q1,True
1864460,2025-03-02 08:10:56,Saturday,December,Q3,False
1349751,2024-01-07 15:36:09,Tuesday,February,Q1,False
906351,2025-09-29 09:18:57,Tuesday,March,Q2,True
1257896,2025-01-03 12:11:16,Sunday,January,Q1,False
946931,2025-08-22 17:38:29,Tuesday,August,Q2,False
1606179,2025-07-19 10:04:19,Sunday,April,Q3,False
1330323,2024-08-19 13:46:24,Thursday,March,Q4,False
684102,2025-07-21 10:15:55,Saturday,October,Q4,False
426745,2024-12-27 08:09:06,Thursday,November,Q2,False
1958000,2024-06-02 14:35:37,Friday,November,Q4,False
1161585,2025-04-18 22:44:33,Thursday,October,Q3,True
1853203,2024-07-18 17:30:05,Wednesday,November,Q2,True
1793061,2025-05-31 12:50:53,Thursday,November,Q2,False
1442302,2025-06-07 09:39:19,Sunday,March,Q1,True
856898,2024-10-15 17:25:19,Thursday,March,Q4,True
175656,2025-01-15 08:39:18,Saturday,August,Q2,True
1445235,2025-01-17 08:08:24,Thursday,November,Q4,True
1020827,2025-09-25 12:02:18,Friday,March,Q3,True
336813,2024-06-12 16:37:34,Saturday,September,Q4,False
1196475,2024-04-23 14:23:31,Wednesday,November,Q2,False
1589490,2025-01-13 20:40:27,Monday,May,Q2,True
1908996,2025-08-20 03:07:51,Sunday,May,Q4,True
1741150,2024-05-28 14:45:03,Saturday,August,Q2,True
579001,2024-05-03 15:15:45,Wednesday,February,Q4,True
877877,2025-06-16 06:04:20,Wednesday,August,Q2,True
1115570,2025-07-20 11:48:15,Wednesday,November,Q1,False
1094970,2025-02-06 14:48:45,Thursday,April,Q4,True
754681,2024-07-25 06:04:31,Friday,November,Q3,False
926200,2025-02-22 17:14:02,Sunday,June,Q3,True
370799,2024-01-01 15:00:59,Sunday,May,Q4,False
450451,2025-06-15 10:43:32,Saturday,June,Q4,False
696360,2025-10-11 10:34:26,Monday,March,Q2,True
311682,2024-04-28 14:15:54,Tuesday,April,Q4,False
1291792,2024-08-19 07:38:12,Monday,March,Q2,True
1587747,2025-06-04 09:23:15,Wednesday,March,Q3,False
1839145,2024-07-10 13:44:15,Sunday,October,Q4,True
259631,2024-08-14 15:28:45,Thursday,February,Q4,True
88986,2025-03-18 07:37:45,Friday,May,Q3,True
939160,2025-08-07 16:58:44,Wednesday,March,Q2,True
431232,2025-05-20 19:04:37,Thursday,April,Q1,False
1280974,2024-12-31 07:03:07,Saturday,November,Q3,False
1904323,2024-12-18 23:18:56,Monday,July,Q3,True
1418673,2024-09-30 11:15:53,Tuesday,October,Q4,False
1678934,2025-08-30 19:34:34,Wednesday,February,Q2,False
1152409,2025-12-14 16:56:09,Monday,October,Q4,False
248714,2025-01-27 06:16:33,Monday,July,Q2,True
1883974,2024-01-06 13:25:08,Friday,March,Q2,False
504638,2025-03-20 19:53:30,Tuesday,August,Q2,True
73040,2024-02-01 15:05:47,Sunday,March,Q2,False
1018140,2024-02-29 14:55:31,Monday,August,Q4,False
1641929,2024-02-25 12:09:57,Tuesday,June,Q2,True
303222,2024-08-05 14:40:32,Tuesday,May,Q2,False
37622,2024-03-07 08:25:24,Thursday,August,Q2,False
1099436,2024-06-01 08:04:54,Saturday,March,Q2,False
1679912,2024-11-03 07:14:16,Friday,February,Q1,True
1615949,2025-01-12 09:24:28,Thursday,August,Q2,False
1563743,2024-12-16 14:00:42,Sunday,November,Q4,True
337975,2025-05-28 13:22:51,Saturday,November,Q4,False
684253,2025-01-05 16:59:07,Saturday,May,Q4,True
935889,2025-02-28 08:15:06,Tuesday,August,Q4,True
865897,2025-08-01 13:58:24,Friday,August,Q3,True
834785,2025-03-25 11:18:14,Sunday,April,Q2,False
1554955,2025-05-30 14:38:19,Sunday,March,Q4,False
1363829,2024-08-01 21:40:01,Saturday,October,Q2,True
457538,2025-02-01 13:29:29,Monday,July,Q4,False
439713,2024-04-22 12:16:12,Saturday,May,Q2,False
1485223,2024-11-25 14:13:24,Saturday,December,Q1,True
721880,2024-10-23 18:47:08,Monday,May,Q4,True
417087,2025-10-22 15:32:34,Tuesday,June,Q4,True
611414,2025-07-22 05:39:00,Thursday,September,Q4,True
711463,2024-08-02 03:38:49,Saturday,March,Q1,True
410382,2025-10-18 09:06:17,Thursday,December,Q2,True
1864128,2024-05-10 16:10:34,Wednesday,March,Q3,False
1317855,2025-10-21 14:23:22,Monday,October,Q2,False
451554,2025-05-20 11:29:22,Monday,May,Q2,False
832196,2024-06-10 07:41:20,Saturday,January,Q4,False
612982,2025-11-28 11:01:30,Monday,June,Q4,False
198563,2024-10-17 20:54:41,Wednesday,October,Q4,False
1119328,2024-08-29 18:55:48,Saturday,January,Q3,False
193292,2025-01-19 14:40:27,Monday,October,Q4,True
556660,2024-04-01 11:27:28,Saturday,November,Q2,True
1591983,2025-08-12 10:43:21,Wednesday,June,Q1,False
1859047,2025-04-19 08:04:24,Wednesday,March,Q3,False
1571709,2024-05-29 12:14:38,Monday,April,Q4,False
617918,2024-01-20 14:07:22,Thursday,July,Q4,True
332677,2025-07-06 13:05:55,Tuesday,August,Q1,True
28460,2024-12-05 15:19:24,Thursday,March,Q2,False
379324,2024-07-16 17:06:31,Wednesday,July,Q2,False
130957,2025-02-22 13:45:57,Wednesday,January,Q2,False
985639,2024-02-28 07:54:28,Sunday,March,Q2,True
1669834,2025-01-18 17:58:31,Sunday,June,Q4,False
1487922,2024-03-30 12:03:52,Saturday,February,Q1,True
285766,2025-06-27 17:37:27,Friday,July,Q3,True
915082,2025-09-13 11:55:34,Monday,January,Q3,False
1825577,2025-08-14 18:16:25,Saturday,November,Q1,True
1406790,2024-02-22 10:19:06,Friday,December,Q2,False
1656014,2024-09-02 08:14:06,Friday,November,Q2,False
1118507,2025-03-10 18:35:01,Thursday,April,Q4,False
1810576,2024-02-01 20:42:48,Monday,October,Q2,True
147487,2024-12-19 17:22:24,Thursday,August,Q4,True
1740311,2024-04-29 08:08:45,Sunday,March,Q3,True
1196806,2024-10-15 04:55:52,Friday,October,Q3,True
19722,2025-10-29 08:55:06,Sunday,August,Q2,True
1939558,2025-01-15 10:16:08,Wednesday,May,Q2,False
1825599,2024-07-15 13:02:52,Tuesday,August,Q3,False
231820,2024-02-03 22:46:16,Sunday,July,Q1,True
1478609,2025-01-01 09:31:12,Thursday,March,Q4,False
448493,2024-03-13 09:43:16,Thursday,March,Q1,True
816097,2024-11-23 10:53:34,Sunday,September,Q1,False
1842056,2025-05-06 08:22:03,Wednesday,November,Q2,True
220358,2024-08-20 12:36:25,Wednesday,August,Q4,False
1276603,2025-12-13 11:47:40,Tuesday,October,Q2,False
685955,2024-04-02 22:39:21,Thursday,October,Q2,True
513288,2024-11-04 10:25:30,Sunday,June,Q3,False
945190,2025-02-16 22:35:30,Monday,September,Q3,True
1966082,2024-12-13 16:05:39,Saturday,August,Q1,True
975195,2024-11-02 20:39:57,Saturday,October,Q1,False
1084283,2025-07-30 11:09:18,Sunday,August,Q1,False
1513796,2024-04-13 19:17:09,Monday,November,Q1,False
986107,2025-06-08 03:00:14,Tuesday,May,Q3,True
1317006,2025-07-20 18:09:49,Thursday,January,Q3,True
1429673,2025-09-13 11:23:41,Sunday,February,Q4,True
1409951,2025-10-06 01:31:17,Saturday,June,Q3,False
643589,2024-08-05 13:26:45,Friday,April,Q1,False
1324428,2025-01-21 09:16:41,Friday,March,Q1,True
103182,2024-01-06 19:16:51,Sunday,August,Q4,True
1946249,2024-03-01 17:03:51,Sunday,August,Q3,True
1247550,2025-11-08 12:32:13,Saturday,April,Q2,False
1026633,2025-05-18 17:10:37,Friday,March,Q4,True
1210673,2025-07-15 20:38:06,Thursday,March,Q2,False
901570,2025-05-04 17:09:56,Thursday,March,Q1,True
251253,2025-10-28 10:07:00,Monday,August,Q3,True
221224,2025-11-01 15:53:36,Wednesday,February,Q4,False
1544956,2024-07-27 14:16:11,Wednesday,August,Q4,True
1114532,2024-03-12 11:17:15,Thursday,November,Q2,False
744877,2025-04-18 09:21:47,Tuesday,February,Q4,True
1313359,2025-03-02 10:51:14,Friday,February,Q2,True
1919414,2025-09-28 18:57:01,Friday,August,Q3,False
195626,2025-07-26 13:06:11,Thursday,February,Q2,True
842219,2024-09-25 12:37:39,Thursday,May,Q3,False
212573,2024-06-09 10:38:45,Monday,November,Q1,False
1187494,2025-02-19 10:09:47,Sunday,March,Q3,True
972590,2024-09-15 00:52:53,Friday,March,Q2,True
1432388,2025-04-06 14:03:22,Friday,April,Q1,False
734168,2025-05-29 14:04:03,Monday,October,Q2,False
1157350,2024-10-27 13:27:35,Monday,November,Q2,True
1579305,2024-03-07 15:58:53,Thursday,March,Q4,True
1417838,2025-08-02 15:45:37,Sunday,February,Q1,False
1795099,2024-01-08 15:42:51,Monday,August,Q2,False
75603,2025-07-01 10:58:07,Sunday,March,Q2,False
677375,2024-05-24 03:16:46,Wednesday,February,Q3,True
1144588,2025-03-17 11:36:15,Tuesday,December,Q1,False
1189929,2025-05-04 15:55:16,Tuesday,October,Q4,False
920060,2025-03-15 14:27:39,Sunday,March,Q2,True
11935,2024-01-17 09:38:37,Saturday,January,Q1,False
1002621,2024-10-21 06:20:03,Tuesday,December,Q4,False
1253815,2024-09-26 19:53:56,Friday,February,Q1,False
1006597,2024-10-22 16:42:36,Saturday,January,Q4,False
1888726,2025-11-06 11:03:22,Monday,June,Q2,False
720554,2024-06-24 06:39:44,Wednesday,November,Q4,False
842850,2025-07-12 19:37:57,Thursday,August,Q2,False
1627557,2024-12-27 21:07:34,Thursday,April,Q2,False
387583,2025-07-17 18:13:26,Friday,February,Q2,True
1162364,2024-11-27 13:35:59,Saturday,October,Q1,True
221806,2025-06-30 10:42:15,Saturday,February,Q2,False
1082609,2024-07-07 07:32:30,Sunday,November,Q3,True
1181975,2024-02-16 12:43:25,Monday,August,Q4,False
1503798,2024-02-02 11:37:19,Sunday,March,Q2,False
1001012,2024-05-24 17:35:45,Monday,September,Q1,True
827111,2024-11-18 23:28:50,Wednesday,November,Q1,False
1572338,2024-06-18 19:04:43,Sunday,August,Q3,True
980903,2025-12-25 19:21:41,Saturday,August,Q2,True
1220991,2024-10-19 08:31:27,Tuesday,October,Q2,True
1099465,2024-09-14 13:59:42,Monday,March,Q4,True
319391,2025-02-13 04:39:07,Sunday,September,Q2,False
314993,2025-04-19 08:23:15,Wednesday,November,Q4,False
662335,2025-12-14 21:44:24,Friday,July,Q4,True
315542,2025-03-10 10:47:36,Saturday,August,Q4,True
1483726,2024-09-04 13:51:53,Sunday,April,Q1,True
1444029,2025-08-21 10:07:55,Thursday,July,Q2,True
53053,2024-10-17 09:09:56,Thursday,August,Q4,False
668226,2025-01-17 10:25:12,Thursday,April,Q2,False
448020,2025-02-04 11:57:32,Thursday,August,Q4,True
1023916,2025-07-12 16:00:17,Thursday,March,Q3,False
616105,2025-05-27 08:17:54,Thursday,September,Q2,True
1323453,2024-12-02 08:36:36,Sunday,June,Q1,False
1427970,2024-09-03 16:17:13,Thursday,May,Q4,True
1701482,2024-05-27 15:01:41,Monday,September,Q4,True
195440,2025-02-17 08:36:31,Monday,November,Q2,False
420798,2025-04-22 08:46:45,Sunday,January,Q2,False
84584,2024-05-13 09:05:22,Sunday,August,Q4,False
1379623,2024-09-02 17:54:07,Sunday,April,Q4,False
407419,2024-08-14 10:53:17,Saturday,August,Q2,False
832985,2024-03-03 15:12:10,Tuesday,July,Q3,False
1667420,2024-09-05 11:53:50,Tuesday,December,Q2,True
860077,2025-02-08 10:59:56,Thursday,March,Q4,True
1415072,2024-09-05 14:27:03,Sunday,November,Q4,True
1070713,2025-10-04 13:11:47,Sunday,August,Q1,True
811837,2024-03-28 08:00:01,Monday,August,Q2,False
1900687,2024-03-31 08:26:33,Wednesday,May,Q4,False
204393,2024-08-13 06:07:47,Saturday,May,Q2,False
1350229,2024-04-28 04:25:58,Saturday,September,Q2,True
60872,2024-11-03 06:55:12,Wednesday,March,Q2,False
1232654,2024-07-08 22:10:28,Saturday,March,Q2,True
1046397,2024-12-20 13:24:11,Thursday,February,Q2,False
1227319,2024-01-18 07:42:20,Thursday,August,Q4,False
135480,2024-07-27 16:17:30,Sunday,December,Q4,False
145437,2024-06-28 14:59:09,Thursday,October,Q3,False
1750240,2025-10-02 15:41:52,Saturday,January,Q2,False
291616,2024-06-11 10:13:15,Tuesday,November,Q2,False
427783,2024-11-12 09:54:01,Friday,December,Q3,True
1238410,2025-09-26 08:14:48,Sunday,May,Q3,True
945005,2024-05-24 15:10:14,Monday,July,Q3,False
1967392,2024-10-19 09:02:02,Thursday,March,Q4,False
419326,2025-06-02 19:55:57,Saturday,November,Q3,True
1437531,2024-01-02 14:58:32,Tuesday,August,Q2,True
140884,2024-07-26 07:34:08,Monday,March,Q4,False
590436,2025-04-06 09:17:18,Friday,March,Q2,True
265621,2024-11-29 17:31:22,Sunday,March,Q1,False
414548,2024-11-03 18:52:04,Thursday,January,Q1,False
1275289,2024-01-12 17:24:32,Tuesday,November,Q4,False
251185,2025-04-26 06:00:12,Thursday,November,Q2,False
1018250,2025-01-18 12:23:29,Thursday,September,Q4,True
519866,2024-03-10 13:43:43,Saturday,October,Q1,False
514767,2025-04-08 12:27:41,Monday,March,Q4,True
50140,2024-08-20 15:48:02,Wednesday,June,Q4,False
1236837,2025-11-23 06:24:55,Wednesday,March,Q4,False
361463,2025-07-19 10:11:29,Saturday,October,Q3,False
158029,2025-01-14 07:11:21,Wednesday,December,Q2,False
806716,2025-06-26 15:21:16,Saturday,March,Q1,True
1109672,2024-06-18 07:55:21,Tuesday,December,Q4,True
1074441,2025-08-10 10:14:43,Wednesday,February,Q4,False
1220595,2024-02-12 08:03:33,Wednesday,December,Q2,False
1271255,2024-03-30 13:38:16,Tuesday,November,Q4,False
882959,2025-04-29 16:26:02,Monday,March,Q3,True
883374,2024-07-05 08:22:48,Friday,August,Q3,True
1877880,2025-03-29 13:59:38,Saturday,May,Q2,False
166679,2024-12-10 11:01:25,Wednesday,May,Q2,True
258217,2024-04-09 08:30:35,Monday,March,Q4,True
89434,2025-06-15 13:55:30,Thursday,July,Q4,True
1710949,2025-07-13 10:45:40,Friday,February,Q3,False
319002,2024-05-05 14:26:55,Friday,February,Q1,True
957106,2024-01-19 14:41:40,Saturday,October,Q4,True
376583,2025-06-10 17:20:24,Sunday,October,Q4,True
258258,2024-09-14 17:32:51,Wednesday,June,Q4,True
1098577,2025-11-05 10:51:09,Sunday,March,Q4,False
1114213,2025-12-27 08:04:25,Saturday,January,Q3,False
580918,2024-03-10 20:51:13,Thursday,August,Q3,False
793591,2024-06-02 14:38:46,Wednesday,December,Q4,False
1187009,2025-08-30 08:41:37,Saturday,February,Q3,False
483743,2025-03-25 19:59:07,Friday,March,Q3,False
1301608,2024-03-19 08:17:49,Sunday,September,Q3,False
983398,2025-09-11 18:16:23,Wednesday,December,Q1,True
958725,2025-11-29 00:43:59,Thursday,March,Q1,True
1097770,2025-06-06 13:44:23,Thursday,October,Q4,True
649450,2025-10-05 15:23:38,Wednesday,August,Q3,False
784194,2025-08-24 16:12:55,Saturday,November,Q2,True
912286,2024-10-02 11:24:30,Friday,October,Q3,False
834593,2024-01-29 08:22:08,Sunday,April,Q2,False
1776095,2024-12-19 07:42:53,Friday,May,Q1,False
909608,2025-06-15 08:41:38,Sunday,March,Q3,False
414484,2024-05-09 14:03:42,Saturday,March,Q2,False
1688818,2025-01-23 13:04:22,Monday,August,Q2,True
1368232,2024-10-12 19:36:58,Saturday,December,Q2,False
1116777,2024-10-28 15:53:02,Thursday,August,Q3,False
1995253,2025-02-23 21:55:10,Saturday,May,Q3,True
1623169,2024-01-16 13:58:55,Friday,November,Q2,False
121263,2025-12-14 11:49:50,Monday,December,Q2,True
1285001,2024-08-29 11:38:01,Saturday,December,Q3,True
1357098,2025-03-16 11:12:38,Wednesday,July,Q3,False
1644618,2025-08-08 05:03:22,Sunday,March,Q2,True
1768802,2024-11-22 14:24:06,Wednesday,March,Q2,False
1934568,2024-11-09 11:50:08,Monday,December,Q2,True
59133,2025-06-29 16:28:13,Saturday,September,Q3,False
1034334,2025-10-11 00:47:18,Thursday,June,Q2,False
444459,2025-07-12 18:32:36,Tuesday,July,Q2,False
1979479,2024-05-18 13:11:36,Tuesday,November,Q3,True
120916,2024-03-05 15:58:35,Tuesday,May,Q1,False
485235,2024-01-24 10:20:34,Saturday,November,Q4,False
407293,2025-02-25 13:59:41,Friday,August,Q2,False
385055,2025-10-18 10:26:19,Tuesday,February,Q2,False
1348198,2025-03-17 11:06:05,Saturday,October,Q3,False
1981904,2024-03-14 10:57:12,Friday,October,Q1,True
1854898,2025-07-05 07:23:44,Tuesday,August,Q2,False
866612,2024-06-06 06:12:58,Saturday,November,Q3,False
434437,2025-11-25 11:07:53,Tuesday,January,Q4,True
8914,2025-03-31 22:18:53,Thursday,March,Q4,False
1019258,2024-05-30 10:41:57,Wednesday,May,Q3,True
1969492,2025-07-18 02:28:56,Saturday,March,Q1,False
915485,2024-08-02 14:22:05,Thursday,January,Q3,True
1597376,2024-08-29 07:29:10,Monday,February,Q3,True
1027445,2024-08-14 09:11:36,Sunday,June,Q1,True
1198171,2025-02-26 06:20:48,Saturday,March,Q1,False
418765,2024-09-03 08:19:29,Friday,March,Q4,True
338197,2025-10-14 16:29:19,Wednesday,December,Q2,True
1337795,2024-04-29 17:39:00,Friday,August,Q4,False
225441,2024-02-11 07:05:23,Thursday,August,Q2,False
314684,2025-12-04 14:19:58,Saturday,March,Q2,True
1193570,2024-03-12 11:59:53,Monday,December,Q1,True
1013366,2025-05-13 11:21:33,Sunday,February,Q2,True
619602,2025-01-02 09:35:39,Sunday,September,Q3,True
1935904,2025-03-25 19:22:37,Monday,February,Q3,False
303447,2025-02-25 11:57:22,Wednesday,February,Q4,False
619708,2025-08-26 14:33:50,Monday,November,Q1,False
333227,2025-05-08 18:03:55,Tuesday,September,Q2,True
1890971,2025-08-01 18:03:15,Saturday,November,Q4,True
1795021,2025-08-26 07:19:55,Wednesday,August,Q2,True
1540540,2024-11-10 09:46:40,Saturday,December,Q4,False
1133700,2025-04-02 09:52:18,Wednesday,December,Q4,False
383519,2025-03-14 05:15:41,Sunday,August,Q1,False
1342358,2025-04-23 12:44:24,Saturday,March,Q4,True
607270,2025-09-18 18:04:28,Saturday,February,Q2,True
312496,2025-04-30 09:13:45,Thursday,July,Q3,False
1025809,2024-03-25 13:41:16,Tuesday,June,Q3,False
359130,2024-05-12 17:29:18,Monday,January,Q4,False
30208,2025-11-26 11:50:21,Saturday,August,Q4,True
883286,2024-04-16 16:37:05,Saturday,September,Q2,True
1988998,2024-10-18 17:08:49,Saturday,May,Q4,False
1698369,2025-05-18 19:33:07,Saturday,December,Q4,True
1293325,2024-11-06 00:59:06,Tuesday,March,Q4,False
1633695,2025-07-10 14:50:44,Sunday,November,Q4,True
706704,2024-07-15 15:49:12,Tuesday,November,Q2,True
1428932,2024-07-13 20:49:43,Thursday,January,Q4,False
935502,2024-08-25 13:39:31,Friday,February,Q3,True
1717870,2024-11-28 19:38:54,Thursday,May,Q4,False
1569286,2024-09-12 12:31:32,Sunday,August,Q2,False
937095,2025-06-12 12:16:51,Tuesday,April,Q2,False
812016,2024-03-10 13:33:41,Friday,June,Q1,False
1968954,2024-02-15 09:52:15,Saturday,August,Q3,True
226474,2024-02-15 10:26:03,Tuesday,February,Q2,True
703285,2025-09-06 22:35:39,Tuesday,September,Q3,False
5175,2025-03-06 11:19:42,Tuesday,June,Q2,True
1461256,2025-10-13 11:03:27,Wednesday,March,Q2,True
1883809,2025-10-13 10:23:27,Wednesday,June,Q2,True
1718830,2025-08-01 18:01:16,Sunday,January,Q1,False
1353485,2025-07-05 07:34:50,Wednesday,October,Q1,True
354369,2024-02-07 11:01:06,Saturday,September,Q4,False
960408,2024-11-15 13:31:17,Thursday,April,Q2,False
100204,2024-06-03 08:41:31,Thursday,March,Q4,False
108310,2025-12-09 03:42:54,Wednesday,August,Q2,False
169217,2024-02-09 08:53:30,Wednesday,December,Q2,False
1336672,2025-01-17 16:13:55,Wednesday,November,Q3,True
924522,2024-06-18 15:20:14,Thursday,March,Q4,False
66265,2024-05-08 14:05:42,Thursday,August,Q4,True
1010979,2024-09-27 10:16:41,Saturday,December,Q2,False
1030101,2024-08-30 09:37:36,Friday,October,Q2,True
1503343,2025-05-05 11:09:29,Saturday,January,Q2,False
36706,2025-11-17 19:09:24,Wednesday,March,Q4,False
501688,2024-05-05 19:43:21,Sunday,May,Q3,False
585829,2025-06-06 12:42:20,Saturday,February,Q4,False
21861,2024-10-19 07:18:22,Friday,March,Q1,False
1631713,2025-12-07 03:10:09,Sunday,August,Q1,True
310175,2025-11-24 12:50:55,Sunday,December,Q3,False
1201071,2025-10-03 09:37:16,Sunday,August,Q1,True
227725,2024-03-16 08:50:55,Wednesday,March,Q1,False
218253,2025-08-07 15:03:27,Friday,December,Q3,True
1868279,2025-01-28 11:58:42,Monday,December,Q3,False
1668220,2024-03-01 15:28:45,Monday,November,Q4,True
1236523,2024-12-19 18:56:25,Thursday,March,Q4,False
449960,2024-06-26 13:24:52,Monday,March,Q4,True
1508461,2025-10-18 14:17:34,Sunday,August,Q2,True
524279,2024-09-01 17:20:30,Thursday,August,Q2,False
956726,2025-02-05 15:23:23,Sunday,March,Q3,False
1564339,2024-11-29 10:03:17,Friday,July,Q4,False
460501,2024-08-19 12:50:08,Friday,September,Q2,True
812004,2024-04-06 16:37:07,Wednesday,May,Q4,True
1453305,2025-04-14 10:09:51,Thursday,August,Q2,True
635329,2024-11-13 14:23:48,Thursday,December,Q3,True
1650656,2024-11-29 08:48:10,Saturday,August,Q3,True
712223,2024-08-08 06:26:56,Friday,May,Q1,True
570593,2024-04-02 19:17:48,Thursday,May,Q1,False
850599,2024-05-05 06:31:17,Sunday,July,Q1,False
1024301,2024-07-25 19:09:06,Wednesday,November,Q2,False
116487,2024-01-19 20:03:17,Tuesday,March,Q4,True
683794,2024-07-27 18:38:36,Friday,October,Q4,True
1677578,2025-03-07 01:16:37,Sunday,March,Q3,False
963666,2025-12-20 15:32:18,Monday,March,Q2,True
153144,2024-04-02 19:31:12,Wednesday,November,Q3,False
393292,2025-01-31 16:20:19,Thursday,July,Q3,False
438890,2025-09-04 23:57:11,Tuesday,March,Q1,True
1600858,2025-04-10 17:28:25,Wednesday,March,Q2,False
421973,2024-11-07 17:01:33,Thursday,December,Q4,True
222923,2025-02-22 19:32:10,Thursday,March,Q4,True
439042,2025-05-04 13:22:16,Tuesday,May,Q3,True
1322677,2025-08-21 18:26:37,Friday,November,Q2,True
204872,2024-10-05 16:06:41,Saturday,May,Q4,True
110024,2024-09-09 19:45:58,Friday,May,Q2,True
1751524,2024-01-15 11:01:40,Thursday,June,Q1,True
868686,2025-01-03 14:34:53,Monday,March,Q2,True
644304,2024-07-14 08:27:04,Sunday,February,Q1,False
656709,2025-01-14 14:36:33,Wednesday,June,Q2,False
139784,2025-11-10 07:10:13,Thursday,August,Q2,True
257597,2024-02-21 12:54:36,Sunday,February,Q2,True
1024452,2024-06-28 12:37:10,Wednesday,February,Q2,False
1549214,2024-04-28 13:10:42,Thursday,November,Q3,False
180853,2025-07-31 13:07:22,Sunday,March,Q4,True
1144313,2024-02-21 16:47:36,Sunday,May,Q4,True
1410988,2024-08-25 10:49:26,Thursday,November,Q1,True
982795,2025-05-13 14:02:52,Saturday,May,Q4,True
1337553,2025-09-18 15:32:27,Tuesday,March,Q4,False
1227811,2024-12-02 12:23:53,Friday,May,Q3,False
1948498,2024-06-13 23:12:50,Sunday,May,Q1,True
1822853,2025-02-01 16:43:31,Thursday,October,Q1,False
1508852,2024-09-13 11:25:21,Saturday,March,Q2,True
1663251,2024-07-30 23:12:28,Wednesday,November,Q2,True
477531,2025-05-20 13:27:26,Friday,March,Q4,True
173917,2024-08-17 06:01:10,Sunday,May,Q2,False
253180,2024-03-11 12:25:45,Tuesday,February,Q1,False
473349,2025-10-01 13:22:49,Tuesday,May,Q2,True
19659,2025-03-31 20:39:01,Friday,May,Q4,True
1987320,2024-03-07 12:13:25,Monday,September,Q3,False
1226488,2024-08-22 08:06:24,Sunday,August,Q2,True
1211072,2024-05-01 16:04:09,Monday,August,Q4,False
1853630,2025-10-12 18:40:55,Thursday,May,Q1,True
1742810,2025-02-19 07:42:08,Sunday,March,Q2,False
1208381,2025-06-18 15:15:17,Sunday,November,Q2,True
1941916,2024-07-14 10:14:39,Friday,March,Q2,True
682030,2024-03-04 10:01:48,Monday,February,Q4,True
528142,2025-08-23 13:07:24,Friday,April,Q4,True
1137713,2025-11-23 08:41:04,Wednesday,May,Q4,False
843207,2025-04-20 07:47:55,Friday,February,Q3,False
745637,2024-09-02 14:10:38,Monday,December,Q1,True
1588034,2024-10-13 05:03:30,Sunday,May,Q4,True
748358,2024-08-03 13:17:23,Thursday,November,Q3,True
568212,2025-11-02 09:00:31,Saturday,December,Q3,True
111311,2024-06-30 06:41:25,Tuesday,September,Q2,False
446710,2025-01-16 10:42:45,Sunday,March,Q3,False
1358529,2024-06-15 14:19:32,Friday,March,Q4,True
310741,2025-12-25 21:15:04,Thursday,January,Q4,True
1766897,2024-04-02 18:36:40,Saturday,November,Q1,True
